word	ANEW #	fem_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
abduction Ê 	621	neg	1.09	0.3339	3.42	1.3547	4.06	1.3364	4.48	0.9265	3.67	1.3458	44
abortion Ê 	622	neg*	1.23	0.7434	3.23	1.6865	4.03	1.3656	3.4	1.7567	3.14	1.7121	46
absurd Ê Ê 	623	   	1.09	0.3742	1.85	1.1619	1.3	0.6853	1.15	0.4584	1.7	1.1348	41
abundance	624	H  	3.28	1.4761	1.15	0.8667	1.09	0.3745	1.15	0.3997	1.06	0.6914	41
abuse Ê Ê 	1	neg	1.06	0.3015	4.55	0.7266	4.55	0.7579	4.42	0.9245	4.52	0.845	44
acceptance	625	H  	3.97	1.1508	1.18	0.6237	1.27	0.8497	1.55	1.1455	1.21	0.873	41
accident	2	   	1.03	0.1525	3.03	1.2876	3.86	1.068	3.91	1.0911	1.74	1.2456	43
ace	626	*	2.83	1.7168	1.1	0.3588	1.1	0.3588	1.13	0.3883	1.17	0.4748	38
ache	627	   	1.12	0.725	2.52	1.1842	3.06	1.2082	2.18	1.3457	2.12	1.2287	41
achievement	3	H  	4.42	0.7928	1.1	0.273	1.21	0.5759	1.24	0.643	1	0	38
activate	4	   	1.7	1.2489	1.18	0.7563	1.15	0.7675	1.18	0.7563	1.12	0.6993	41
addict	581	neg*	1.09	0.542	2.89	1.4952	3.51	1.3937	3.03	1.4426	3.26	1.5696	46
addicted	628	neg*	1.2	0.886	2.94	1.4449	3.46	1.3262	3.2	1.4307	3.14	1.4818	46
admired	5	H  	4.34	0.7938	1.17	0.4845	1.23	0.5145	1.14	0.6933	1.06	0.2578	43
adorable	6	H  	4.39	0.8865	1.12	0.4748	1.24	0.6641	1.03	0.1622	1.12	0.5088	38
adult	546	   	2.8	1.3588	1.6	1.0053	1.87	0.9907	2.57	1.3891	1.3	0.6851	38
advantage	629	H  	3.45	1.1786	1.48	0.8621	1.39	0.7807	1.36	0.6794	1.3	0.76	38
adventure	630	H  	3.59	1.0669	1.13	0.5088	1.1	0.3426	2.33	0.9165	1.1	0.3588	38
affection	7	H  	4.45	0.81	1.3	0.6496	1.61	1.0667	1.7	1.2047	1.48	0.7738	41
