word	ANEW #	male_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
abduction Ê 	621	neg	1.13	0.35	3.53	1.28	3.73	1.2	3.6	1.38	3.19	1.42	30
abortion Ê 	622	*	1.29	0.69	2.58	1.59	3.4	1.54	2.42	1.48	2.97	1.74	31
absurd Ê Ê 	623	   	1.52	0.81	1.87	1.12	1.35	0.71	1.48	0.77	1.48	0.77	31
abundance	624	H  	3.06	1.34	1.19	0.48	1.16	0.45	1.16	0.52	1.32	0.7	31
abuse Ê Ê 	1	neg	1.07	0.25	3.77	1.07	3.7	1.26	3.13	1.36	3.6	1.25	30
acceptance	625	H  	3.39	1.17	1.19	0.48	1.58	0.99	1.71	1.07	1.32	0.75	31
accident	2	   	1.1	0.41	2.41	1.27	3.1	1.01	3.24	1.21	1.9	1.35	29
ace	626	H*	3.32	1.47	1.25	0.52	1.04	0.19	1.46	1	1.11	0.42	28
ache	627	   	1.2	0.55	2.28	1.2	2.23	1.04	2.1	0.92	1.86	1.04	30
achievement	3	H  	4.25	0.97	1.04	0.19	1.04	0.19	1.36	0.83	1.14	0.59	28
activate	4	   	1.94	1	1.42	0.92	1.26	0.63	1.45	0.89	1.32	0.7	31
addict	581	*	1.23	0.67	2.19	1.42	2.81	1.35	2.29	1.37	2.71	1.37	31
addicted	628	*	1.32	0.7	2.42	1.26	2.65	1.4	2.65	1.33	2.65	1.36	31
admired	5	H  	3.41	1.48	1.34	0.86	1.24	0.79	1.62	1.21	1.38	0.9	29
adorable	6	H  	3.68	1.25	1.11	0.42	1.11	0.42	1.14	0.59	1.11	0.31	28
adult	546	   	2.21	1.2	1.21	0.5	1.32	0.61	1.71	1.08	1.07	0.26	28
advantage	629	H  	3.29	1.21	1.43	0.84	1.14	0.45	1.21	0.5	1.21	0.57	28
adventure	630	H  	3.79	1.17	1.04	0.19	1.04	0.19	2	1.02	1	0	28
affection	7	H  	3.97	1.25	1.33	0.8	1.43	0.82	1.37	0.81	1.17	0.53	30
afraid	8	F  	1.23	0.68	2.27	1.01	2.7	1.12	4.2	1.06	1.7	0.88	30
aggressive	9	   	1.94	1.17	3.08	1.2	1.4	0.77	2.32	1.32	1.65	1.15	30
agility	22	H  	3.1	1.47	1.28	0.65	1	0	1.1	0.41	1.1	0.41	29
agony	10	   	1.1	0.4	2.39	1.12	3	1.37	2.48	1.34	1.68	0.87	31
agreement	631	H  	3.06	1.26	1.32	0.65	1.39	0.67	1.19	0.48	1.23	0.5	31
air	632	*	2.36	1.5	1	0	1.04	0.19	1.14	0.59	1.11	0.42	28
alcoholic	582	   	1.5	1.17	2.54	1.37	3.21	1.45	2.82	1.44	2.39	1.4	28
alert	11	   	1.87	1.17	1.63	0.89	1.27	0.64	2.2	1.13	1.4	0.72	30
alien	633	   	1.48	0.93	1.58	0.99	1.32	0.6	2	1.24	1.52	0.85	31
alimony	634	   	1.5	0.77	2	0.91	2.36	1.15	1.86	1.07	1.75	0.82	30
alive	635	H  	4.14	1.15	1.11	0.31	1.11	0.42	1.21	0.63	1.07	0.26	28
allergy	636	   	1.23	0.57	2.1	1.21	1.97	0.93	1.87	0.97	2.43	1.48	30
alley	637	*	1.76	1.3	1.28	0.7	1.52	0.87	2.55	1.3	1.59	0.98	29
alone	12	*	1.21	0.5	1.71	0.9	3.5	1.04	2.82	1.19	1.57	0.88	28
aloof	13	   	2	1.13	1.51	0.87	1.55	0.78	1.47	0.87	1.46	0.77	29
ambition	14	H  	3.43	1.3	1.37	0.81	1.47	1.04	1.83	1.21	1.3	0.75	30
ambulance	15	SF 	1.21	0.79	1.68	1.16	3.25	1.24	3.21	1.32	1.36	0.99	28
angel	16	H  	4.36	0.99	1	0	1.07	0.38	1.18	0.55	1	0	28
anger	17	A  	1.07	0.25	4.4	1.16	2.5	1.36	2.23	1.33	1.97	1.38	30
angry	18	A  	1.03	0.19	4.48	0.95	2.45	1.27	2.55	1.24	2.14	1.36	29
anguished	19	   	1.21	0.49	2.51	1.19	3.16	1.32	2.3	1.08	2.48	1.35	29
ankle	638	   	1.5	0.84	1.25	0.65	1.25	0.65	1.29	0.76	1.21	0.69	28
annoy	20	   	1.1	0.4	3.63	1.16	1.67	1.09	1.73	1.14	2.77	1.45	30
answer	639	   	2.3	1.42	1.37	0.67	1.4	0.89	1.67	0.88	1.13	0.35	30
anxious	21	   	2	1.26	1.67	0.8	1.83	1.09	2.33	1.09	1.43	0.82	30
applause	640	H  	3.6	1.05	1.17	0.54	1.03	0.19	1.14	0.44	1.03	0.19	29
appliance	641	   	1.79	1.13	1.21	0.63	1.18	0.55	1.25	0.7	1.11	0.42	28
arm	642	   	1.86	1.3	1.28	0.75	1.03	0.19	1.17	0.47	1.17	0.54	29
army	23	   	2.13	1.31	2.32	1.25	1.94	1.12	2.68	1.22	1.55	0.96	31
aroused	24	H  	4.31	0.97	1.07	0.26	1.1	0.31	1.34	0.94	1.28	0.7	29
arrogant	25	   	1.39	0.76	2.87	1.52	1.45	0.93	1.48	0.96	2.35	1.25	31
art	643	*	3	1.44	1.65	0.98	1.74	1.06	1.52	1.03	1.55	1.18	31
assassin	26	*	1.07	0.38	3.07	1.36	2.07	1.39	3.32	1.31	2.04	1.32	28
assault	27	neg	1.21	0.68	3.76	1.38	3.07	1.36	3.45	1.24	2.93	1.44	29
astonished	28	   	2.03	1.17	1.32	0.6	1.26	0.63	1.52	0.72	1.13	0.43	31
astronaut	501	   	3.03	1.55	1.17	0.6	1.28	0.53	1.79	1.24	1.1	0.56	29
athletics	644	H  	4.03	1.18	2	1.28	1.62	1.12	1.55	1.06	1.48	1.09	29
autumn	29	H  	3.39	1.41	1.26	0.63	1.58	0.92	1.26	0.63	1.16	0.58	31
avalanche	645	F*	1.31	0.66	2	1.1	2.31	1.31	3.83	1.34	1.62	0.9	29
avenue	646	   	1.86	1.41	1.21	0.62	1.17	0.54	1.17	0.54	1.21	0.56	29
awed	30	H  	3.34	1.2	1.53	0.86	1.64	1.09	1.31	0.65	1.19	0.6	29
baby	31	H  	4.17	0.95	1.1	0.31	1.3	0.7	1.47	0.9	1.2	0.66	30
bake	647	H  	3	1.25	1.11	0.31	1.04	0.19	1.25	0.59	1	0	28
bandage	648	   	1.14	0.36	1.36	0.56	1.64	0.78	1.71	0.9	1.64	0.91	28
bankrupt	32	   	1.06	0.25	2.48	1.41	2.87	1.45	2.74	1.44	2.1	1.37	31
banner	649	   	2.03	1.19	1.2	0.48	1.1	0.4	1.1	0.4	1.17	0.46	30
bar	650	H*	3.06	1.63	1.35	0.61	1.39	0.72	1.19	0.6	1.42	0.99	31
barrel	651	   	1.42	0.96	1.16	0.37	1.16	0.37	1.16	0.45	1.16	0.52	31
basket	547	   	2	1.31	1.1	0.41	1.24	0.79	1.14	0.58	1.1	0.41	29
bastard	33	*	1.33	0.88	3.2	1.32	2.37	1.13	1.6	0.93	2.2	1.19	30
bath	502	H  	3.33	1.27	1.3	0.65	1.17	0.38	1.2	0.41	1.53	0.73	30
bathroom	548	   	1.75	1.08	1.07	0.26	1.04	0.19	1.29	0.71	2.11	1.42	28
bathtub	652	H*	2.61	1.31	1.07	0.26	1.07	0.26	1.14	0.36	1.21	0.5	28
beach	34	H  	4.03	1.35	1.2	0.55	1.37	0.76	1.43	0.86	1.2	0.41	30
beast	653	   	1.39	0.92	1.89	1.4	1.39	0.83	2.89	1.23	1.61	1.03	28
beautiful	654	H  	4.31	0.97	1.24	0.79	1.24	0.83	1.31	0.89	1.14	0.74	29
beauty	35	H  	4.28	1.07	1.17	0.54	1.28	0.65	1.07	0.26	1.1	0.56	29
bed	549	H  	3.63	1.52	1.13	0.43	1.63	1.03	1.37	0.56	1.23	0.57	30
bees	583	   	1.31	0.71	2.66	1.34	1.21	0.68	3	1.31	1.97	1.48	29
beggar	36	*	1.18	0.77	2.15	1.33	3.19	1.36	1.46	0.92	1.68	1.09	28
bench	655	   	1.21	0.69	1.32	0.77	1.36	0.73	1.25	0.59	1.14	0.45	28
bereavement	656	   	1.31	0.67	1.89	1.14	2.09	1.3	1.55	1.07	1.5	0.98	31
betray	37	   	1.14	0.74	4.1	1.11	3.03	1.4	2.7	1.44	3.24	1.68	29
beverage	657	H  	3.29	1.38	1.21	0.83	1.14	0.76	1.11	0.42	1.07	0.26	28
bird	38	H*	2.75	1.29	1.11	0.42	1.14	0.59	1.18	0.48	1.21	0.57	28
birthday	39	H  	4.48	0.68	1.03	0.18	1.19	0.54	1.16	0.52	1.03	0.18	31
black	543	   	1.43	0.77	2.57	1.52	2.67	1.49	2.47	1.33	2.27	1.57	30
blackmail	40	neg*	1	0	3.61	1.2	2.43	1.32	2.71	1.24	2.5	1.37	28
bland	658	   	1.27	0.58	1.5	1.04	1.73	0.87	1.3	0.65	1.93	1.08	30
blase	41	   	1.48	0.92	1.31	0.56	1.52	0.8	1.5	0.7	1.28	0.65	29
blasphemy	659	   	1.23	0.62	2.48	1.29	1.9	1.04	1.77	0.99	1.87	1.09	31
bless	42	H  	3.79	1.52	1.07	0.26	1.07	0.26	1.04	0.19	1	0	28
blind	43	*	1.2	0.81	2.1	1.54	3.33	1.47	2.83	1.51	1.37	0.76	30
bliss	660	H  	4.55	0.78	1.14	0.44	1.07	0.26	1.14	0.44	1.07	0.26	29
blister	661	   	1.03	0.19	2.6	1.23	1.85	0.99	1.96	1.21	2.8	1.34	29
blond	662	H*	3.21	1.63	1.45	0.95	1.34	0.9	1.28	0.92	1.34	0.72	29
bloody	584	neg	1.18	0.46	2.62	1.05	2.97	1.27	3.53	1.21	3.59	1.16	34
blossom	44	H  	3.31	1.34	1.07	0.26	1.1	0.41	1.07	0.26	1.1	0.41	29
blubber	663	   	1.76	1.18	1.69	1.04	1.83	1.23	1.59	1.02	2.59	1.43	29
blue	544	   	2.6	1.48	1.5	0.9	2.63	1.56	1.4	0.81	1.33	0.76	30
board	664	   	1.57	0.97	1.77	1.07	1.6	0.89	1.53	0.9	1.49	0.86	30
body	665	H*	3.24	1.3	1.48	0.87	1.28	0.65	1.21	0.56	1.38	0.68	29
bold	45	   	2.53	1.28	1.87	1.14	1.37	0.81	1.7	0.99	1.33	0.71	30
bomb	46	*	1.2	0.76	3.17	1.42	2.65	1.24	3.33	1.63	2.13	1.28	30
book	47	   	2.77	1.45	2.03	1.19	1.8	1.19	1.8	1.19	1.83	1.21	30
bored	48	   	1.1	0.31	1.9	1.05	2.14	1.06	1.24	0.58	1.9	1.26	29
bottle	666	   	2.4	1.5	1.47	0.97	1.63	1.19	1.6	1.19	1.5	0.97	30
bouquet	667	H  	3.41	1.3	1.14	0.58	1.14	0.52	1.1	0.41	1.1	0.41	29
bowl	49	   	1.97	1.17	1.35	0.88	1.23	0.8	1.23	0.67	1.35	0.88	31
boxer	585	   	2.13	1.34	1.9	1.27	1.29	0.64	1.87	1.09	1.42	0.72	31
boy	50	*	2.19	1.4	1.39	0.67	1.48	0.96	1.52	1.12	1.42	0.92	31
brave	668	H  	3.5	1.32	1.32	0.61	1.14	0.45	1.82	1.12	1	0	28
breast	51	H*	3.77	1.45	1.2	0.48	1.47	0.97	1.37	0.81	1.2	0.61	30
breeze	669	H  	3.42	1.36	1.1	0.4	1.16	0.37	1.06	0.25	1.13	0.43	31
bride	670	H  	3.96	0.96	1.07	0.26	1.21	0.57	1.14	0.36	1	0	28
bright	671	H  	3.35	1.54	1.32	0.65	1.13	0.34	1.06	0.25	1.19	0.6	31
broken	672	   	1.07	0.26	2.71	1.33	3.07	1.05	2.29	1.24	1.5	0.88	28
brother	52	H  	3.6	0.97	1.87	1.04	1.47	0.9	1.38	0.81	1.33	0.8	30
brutal	53	*	1.27	0.78	3.57	1.04	2.63	1.13	2.87	1.25	2.43	1.22	30
building	550	   	1.83	1.2	1.21	0.77	1.21	0.77	1.55	1.02	1.31	0.93	29
bullet	673	   	1.14	0.59	2.29	1.44	2.14	1.33	3.04	1.32	1.82	1.44	28
bunny	54	H  	3.47	1.22	1.1	0.4	1.17	0.59	1.13	0.43	1.17	0.46	30
burdened	55	   	1.2	0.66	2.76	1.22	2.57	1.36	2	0.98	2.14	1.07	30
burial	56	S  	1.23	0.8	2	1.32	4.03	0.95	2.23	1.28	1.26	0.51	31
burn	586	   	1.13	0.35	2.8	1.37	2.37	1.27	3.13	1.31	2.1	1.12	30
bus	541	   	1.55	0.81	1.45	0.85	1.35	0.71	1.52	1	1.42	0.81	31
busybody	674	   	1.86	0.94	1.9	1.06	1.63	0.67	1.31	0.59	1.97	1.16	30
butter	57	   	2.07	1.36	1.17	0.53	1.2	0.61	1.17	0.53	1.67	0.99	30
butterfly	58	H  	3.3	1.26	1.27	0.69	1.27	0.64	1.3	0.79	1.37	0.67	30
cabinet	675	   	1.47	0.82	1.1	0.31	1.07	0.25	1.13	0.43	1.27	0.83	30
cake	59	H  	3.6	1.13	1.07	0.37	1.13	0.57	1.07	0.37	1.25	0.63	30
cancer	60	   	1.1	0.4	2.87	1.45	3.52	1.41	3.48	1.41	2.29	1.53	31
